DBN,Category,Total Enrollment
09X109,Poverty,667.0
09X109,Reside in temporary housing,89.0
09X109,Students with Disabilities,144.0
09X110,All Students,441.0
09X110,Attend school outside district of residence,16.0
09X110,English Language Learners,55.0
09X110,Poverty,427.0
09X110,Reside in temporary housing,98.0
09X110,Students with Disabilities,107.0
09X114,All Students,790.0
09X114,Attend school outside district of residence,33.0
09X114,English Language Learners,263.0
09X114,Poverty,761.0
09X114,Reside in temporary housing,252.0
09X145,English Language Learners,128.0
09X114,Students with Disabilities,142.0
09X117,All Students,575.0
09X117,Attend school outside district of residence,51.0
09X117,English Language Learners,236.0
09X117,Poverty,575.0
09X117,Reside in temporary housing,153.0
09X117,Students with Disabilities,155.0
09X126,All Students,636.0
09X126,Attend school outside district of residence,26.0
09X126,English Language Learners,159.0
09X126,Poverty,611.0
09X126,Reside in temporary housing,148.0
09X126,Students with Disabilities,92.0
10X310,English Language Learners,127.0
09X128,All Students,371.0
09X128,Attend school outside district of residence,58.0
09X128,English Language Learners,19.0
09X128,Poverty,371.0
09X128,Reside in temporary housing,40.0
09X128,Students with Disabilities,56.0
09X132,All Students,442.0
09X132,Attend school outside district of residence,28.0
09X132,English Language Learners,58.0
09X132,Poverty,442.0
09X132,Reside in temporary housing,86.0
09X132,Students with Disabilities,101.0
09X145,All Students,299.0
09X145,Attend school outside district of residence,13.0
09X145,Poverty,299.0
09X145,Reside in temporary housing,46.0
09X145,Students with Disabilities,81.0
09X163,All Students,531.0
09X163,Attend school outside district of residence,40.0
09X163,English Language Learners,178.0
09X163,Poverty,525.0
09X163,Reside in temporary housing,111.0
09X163,Students with Disabilities,99.0
09X170,All Students,297.0
09X170,Attend school outside district of residence,10.0
09X170,English Language Learners,94.0
09X170,Poverty,297.0
09X274,Attend school outside district of residence,21.0
09X170,Reside in temporary housing,41.0
09X170,Students with Disabilities,42.0
09X199,All Students,753.0
09X199,Attend school outside district of residence,26.0
09X199,English Language Learners,231.0
09X199,Poverty,733.0
09X199,Reside in temporary housing,205.0
09X199,Students with Disabilities,162.0
09X204,All Students,584.0
09X204,Attend school outside district of residence,75.0
09X204,English Language Learners,63.0
09X204,Poverty,584.0
09X204,Reside in temporary housing,90.0
09X204,Students with Disabilities,120.0
09X215,All Students,269.0
09X215,Attend school outside district of residence,41.0
09X215,English Language Learners,41.0
09X215,Poverty,269.0
09X215,Reside in temporary housing,39.0
09X215,Students with Disabilities,43.0
09X218,All Students,1005.0
09X218,Attend school outside district of residence,74.0
09X218,English Language Learners,315.0
09X218,Poverty,1005.0
09X218,Reside in temporary housing,157.0
09X218,Students with Disabilities,179.0
09X219,All Students,331.0
09X219,Attend school outside district of residence,29.0
09X219,English Language Learners,102.0
09X219,Poverty,331.0
09X219,Reside in temporary housing,101.0
09X219,Students with Disabilities,99.0
09X229,All Students,266.0
09X229,Attend school outside district of residence,17.0
09X229,English Language Learners,54.0
09X229,Poverty,266.0
09X229,Reside in temporary housing,44.0
09X229,Students with Disabilities,99.0
09X230,All Students,76.0
09X230,Attend school outside district of residence,
09X230,English Language Learners,10.0
09X230,Poverty,72.0
09X230,Reside in temporary housing,12.0
09X230,Students with Disabilities,21.0
09X231,All Students,231.0
09X231,Attend school outside district of residence,170.0
09X231,English Language Learners,14.0
09X231,Poverty,205.0
09X231,Reside in temporary housing,19.0
09X231,Students with Disabilities,54.0
09X232,All Students,511.0
09X232,Attend school outside district of residence,70.0
09X232,Poverty,511.0
09X232,Reside in temporary housing,79.0
09X232,Students with Disabilities,96.0
09X236,All Students,314.0
09X236,Attend school outside district of residence,39.0
09X236,English Language Learners,37.0
09X236,Poverty,307.0
09X236,Reside in temporary housing,74.0
09X236,Students with Disabilities,79.0
09X241,All Students,261.0
09X241,Attend school outside district of residence,32.0
09X241,English Language Learners,45.0
13K056,Attend school outside district of residence,33.0
09X241,Poverty,241.0
09X241,Reside in temporary housing,31.0
09X241,Students with Disabilities,68.0
09X274,All Students,622.0
09X274,English Language Learners,121.0
09X274,Poverty,539.0
09X274,Reside in temporary housing,131.0
09X274,Students with Disabilities,119.0
09X294,All Students,425.0
09X294,Attend school outside district of residence,12.0
09X294,English Language Learners,118.0
09X294,Poverty,406.0
09X294,Reside in temporary housing,123.0
09X294,Students with Disabilities,104.0
09X303,All Students,319.0
09X303,Attend school outside district of residence,25.0
09X303,English Language Learners,52.0
09X313,Students with Disabilities,75.0
09X303,Poverty,319.0
09X303,Reside in temporary housing,44.0
09X303,Students with Disabilities,101.0
09X311,All Students,313.0
09X311,Attend school outside district of residence,13.0
09X311,English Language Learners,170.0
13K056,English Language Learners,
09X311,Poverty,303.0
09X311,Reside in temporary housing,84.0
09X311,Students with Disabilities,58.0
09X313,All Students,309.0
09X313,Attend school outside district of residence,52.0
09X313,English Language Learners,100.0
09X313,Poverty,309.0
09X313,Reside in temporary housing,71.0
09X323,All Students,464.0
09X323,Attend school outside district of residence,75.0
09X323,English Language Learners,126.0
09X350,Reside in temporary housing,42.0
09X323,Poverty,464.0
09X323,Reside in temporary housing,115.0
09X323,Students with Disabilities,89.0
09X324,All Students,218.0
09X324,Attend school outside district of residence,40.0
09X324,English Language Learners,49.0
09X324,Poverty,181.0
09X324,Reside in temporary housing,22.0
09X324,Students with Disabilities,57.0
09X328,Attend school outside district of residence,25.0
09X325,All Students,301.0
09X325,Attend school outside district of residence,56.0
09X325,English Language Learners,107.0
23K150,Attend school outside district of residence,9.0
09X325,Poverty,301.0
09X325,Reside in temporary housing,73.0
09X325,Students with Disabilities,74.0
09X327,All Students,296.0
09X327,Attend school outside district of residence,33.0
09X327,English Language Learners,48.0
09X327,Poverty,268.0
09X327,Reside in temporary housing,43.0
09X327,Students with Disabilities,60.0
09X328,All Students,187.0
09X328,English Language Learners,46.0
23K150,English Language Learners,19.0
09X328,Poverty,187.0
09X328,Reside in temporary housing,41.0
09X328,Students with Disabilities,55.0
09X339,All Students,514.0
09X339,Attend school outside district of residence,90.0
09X339,English Language Learners,142.0
09X339,Poverty,514.0
09X339,Reside in temporary housing,111.0
09X339,Students with Disabilities,138.0
09X350,All Students,166.0
09X350,Attend school outside district of residence,85.0
09X350,English Language Learners,57.0
09X505,English Language Learners,24.0
09X350,Poverty,166.0
09X350,Students with Disabilities,61.0
09X361,All Students,390.0
09X361,Attend school outside district of residence,37.0
09X361,English Language Learners,78.0
09X361,Poverty,390.0
09X361,Reside in temporary housing,53.0
09X361,Students with Disabilities,102.0
09X413,All Students,164.0
09X413,Attend school outside district of residence,22.0
09X413,English Language Learners,15.0
09X413,Poverty,164.0
09X413,Reside in temporary housing,10.0
09X449,Students with Disabilities,120.0
09X413,Students with Disabilities,31.0
09X443,All Students,509.0
09X443,Attend school outside district of residence,30.0
09X443,English Language Learners,176.0
09X443,Poverty,462.0
09X443,Reside in temporary housing,119.0
09X443,Students with Disabilities,97.0
09X449,All Students,442.0
09X449,Attend school outside district of residence,46.0
09X449,English Language Learners,102.0
09X449,Poverty,424.0
09X449,Reside in temporary housing,74.0
13K093,Reside in temporary housing,41.0
09X454,All Students,432.0
09X454,Attend school outside district of residence,65.0
09X454,English Language Learners,86.0
09X454,Poverty,432.0
09X454,Reside in temporary housing,67.0
09X454,Students with Disabilities,95.0
09X457,All Students,597.0
09X457,Attend school outside district of residence,35.0
09X457,English Language Learners,112.0
09X457,Poverty,531.0
09X457,Reside in temporary housing,130.0
09X457,Students with Disabilities,122.0
09X505,All Students,286.0
09X505,Attend school outside district of residence,61.0
09X505,Poverty,263.0
09X505,Reside in temporary housing,36.0
09X505,Students with Disabilities,63.0
09X555,All Students,304.0
09X555,Attend school outside district of residence,21.0
09X555,English Language Learners,79.0
09X555,Poverty,285.0
09X555,Reside in temporary housing,37.0
09X555,Students with Disabilities,47.0
13K301,Reside in temporary housing,10.0
09X568,All Students,251.0
09X568,Attend school outside district of residence,155.0
09X568,English Language Learners,14.0
09X568,Poverty,251.0
09X568,Reside in temporary housing,23.0
09X568,Students with Disabilities,44.0
10X003,All Students,314.0
10X003,Attend school outside district of residence,85.0
10X003,English Language Learners,35.0
10X003,Poverty,303.0
10X003,Reside in temporary housing,85.0
10X003,Students with Disabilities,68.0
13K596,English Language Learners,6.0
10X007,All Students,731.0
10X007,Attend school outside district of residence,32.0
10X007,English Language Learners,148.0
10X007,Poverty,628.0
10X007,Reside in temporary housing,146.0
10X007,Students with Disabilities,98.0
10X008,All Students,1074.0
10X008,Attend school outside district of residence,40.0
10X008,English Language Learners,266.0
10X008,Poverty,940.0
10X008,Reside in temporary housing,167.0
10X015,Students with Disabilities,100.0
10X008,Students with Disabilities,238.0
10X009,All Students,808.0
10X009,Attend school outside district of residence,90.0
10X009,English Language Learners,238.0
10X009,Poverty,808.0
10X009,Reside in temporary housing,228.0
10X009,Students with Disabilities,179.0
10X015,All Students,497.0
10X015,Attend school outside district of residence,96.0
10X015,English Language Learners,35.0
10X015,Poverty,497.0
10X015,Reside in temporary housing,63.0
10X020,All Students,1084.0
10X020,Attend school outside district of residence,64.0
10X020,English Language Learners,205.0
10X020,Poverty,1009.0
10X020,Reside in temporary housing,91.0
10X020,Students with Disabilities,275.0
10X023,All Students,497.0
10X023,Attend school outside district of residence,64.0
10X023,English Language Learners,71.0
10X023,Poverty,497.0
10X023,Reside in temporary housing,141.0
10X023,Students with Disabilities,151.0
10X024,All Students,1011.0
10X024,Attend school outside district of residence,35.0
10X024,English Language Learners,33.0
10X024,Poverty,275.0
10X024,Reside in temporary housing,26.0
10X024,Students with Disabilities,147.0
10X032,All Students,821.0
10X032,Attend school outside district of residence,28.0
10X032,English Language Learners,116.0
10X032,Poverty,808.0
10X032,Reside in temporary housing,162.0
10X032,Students with Disabilities,195.0
10X033,All Students,982.0
10X033,Attend school outside district of residence,37.0
10X033,English Language Learners,261.0
10X033,Poverty,982.0
10X033,Reside in temporary housing,171.0
10X033,Students with Disabilities,193.0
10X037,All Students,646.0
10X037,Attend school outside district of residence,24.0
10X037,English Language Learners,98.0
10X037,Poverty,646.0
10X037,Reside in temporary housing,97.0
10X315,Students with Disabilities,49.0
10X037,Students with Disabilities,159.0
10X045,All Students,730.0
10X045,Attend school outside district of residence,40.0
10X045,English Language Learners,123.0
10X045,Poverty,730.0
10X045,Reside in temporary housing,105.0
10X045,Students with Disabilities,159.0
10X046,All Students,1099.0
10X046,Attend school outside district of residence,37.0
10X046,English Language Learners,437.0
10X046,Poverty,1099.0
10X046,Reside in temporary housing,304.0
10X046,Students with Disabilities,262.0
10X051,All Students,215.0
10X051,Attend school outside district of residence,28.0
10X051,English Language Learners,10.0
10X051,Poverty,187.0
10X051,Reside in temporary housing,16.0
10X051,Students with Disabilities,33.0
10X054,All Students,451.0
10X054,Attend school outside district of residence,27.0
10X054,English Language Learners,130.0
10X054,Poverty,445.0
10X054,Reside in temporary housing,110.0
10X054,Students with Disabilities,87.0
10X081,English Language Learners,57.0
10X056,All Students,691.0
10X056,Attend school outside district of residence,19.0
10X056,English Language Learners,100.0
10X056,Poverty,691.0
10X056,Reside in temporary housing,104.0
10X056,Students with Disabilities,127.0
10X059,All Students,561.0
10X059,Attend school outside district of residence,43.0
10X059,English Language Learners,92.0
10X059,Poverty,556.0
10X059,Reside in temporary housing,141.0
10X059,Students with Disabilities,149.0
10X077,All Students,147.0
10X077,Attend school outside district of residence,
10X077,English Language Learners,42.0
10X077,Poverty,125.0
10X077,Reside in temporary housing,23.0
10X077,Students with Disabilities,17.0
10X080,All Students,636.0
10X080,Attend school outside district of residence,21.0
10X080,English Language Learners,198.0
10X080,Poverty,636.0
10X080,Reside in temporary housing,110.0
10X080,Students with Disabilities,147.0
10X081,All Students,683.0
10X081,Attend school outside district of residence,
10X081,Poverty,313.0
10X081,Reside in temporary housing,53.0
10X081,Students with Disabilities,116.0
10X085,All Students,929.0
10X085,Attend school outside district of residence,59.0
10X085,English Language Learners,226.0
10X085,Poverty,887.0
10X085,Reside in temporary housing,216.0
10X085,Students with Disabilities,233.0
10X360,Attend school outside district of residence,9.0
10X086,All Students,1652.0
10X086,Attend school outside district of residence,103.0
10X086,English Language Learners,509.0
28Q161,English Language Learners,80.0
10X086,Poverty,1652.0
10X086,Reside in temporary housing,373.0
10X086,Students with Disabilities,310.0
10X091,All Students,760.0
10X091,Attend school outside district of residence,37.0
10X091,English Language Learners,288.0
10X091,Poverty,660.0
10X091,Reside in temporary housing,239.0
10X091,Students with Disabilities,182.0
10X094,All Students,1230.0
10X094,Attend school outside district of residence,57.0
10X094,English Language Learners,318.0
10X206,Reside in temporary housing,69.0
10X094,Poverty,1165.0
10X094,Reside in temporary housing,284.0
10X094,Students with Disabilities,272.0
10X095,All Students,1291.0
10X095,Attend school outside district of residence,68.0
10X095,English Language Learners,245.0
10X095,Poverty,1291.0
10X360,English Language Learners,71.0
10X095,Reside in temporary housing,208.0
10X095,Students with Disabilities,249.0
10X118,All Students,1156.0
10X118,Attend school outside district of residence,113.0
10X118,English Language Learners,132.0
10X118,Poverty,1156.0
10X118,Reside in temporary housing,180.0
10X118,Students with Disabilities,220.0
10X141,All Students,724.0
10X141,Attend school outside district of residence,6.0
10X141,English Language Learners,63.0
11X111,English Language Learners,61.0
10X141,Poverty,366.0
10X141,Reside in temporary housing,63.0
10X141,Students with Disabilities,135.0
10X159,All Students,201.0
10X159,Attend school outside district of residence,17.0
10X159,English Language Learners,60.0
10X228,English Language Learners,11.0
10X159,Poverty,201.0
10X159,Reside in temporary housing,27.0
10X159,Students with Disabilities,32.0
10X205,All Students,1049.0
10X205,Attend school outside district of residence,50.0
10X205,English Language Learners,215.0
17K191,Attend school outside district of residence,32.0
10X205,Poverty,1049.0
10X205,Reside in temporary housing,181.0
10X205,Students with Disabilities,209.0
10X206,All Students,237.0
10X206,Attend school outside district of residence,20.0
10X206,English Language Learners,56.0
10X206,Poverty,237.0
10X206,Students with Disabilities,73.0
10X207,All Students,370.0
10X207,Attend school outside district of residence,7.0
10X207,English Language Learners,147.0
17K191,English Language Learners,7.0
10X207,Poverty,370.0
10X207,Reside in temporary housing,84.0
10X207,Students with Disabilities,59.0
10X209,All Students,231.0
10X209,Attend school outside district of residence,20.0
10X209,English Language Learners,77.0
10X209,Poverty,221.0
10X209,Reside in temporary housing,71.0
10X209,Students with Disabilities,73.0
10X225,All Students,203.0
10X225,Attend school outside district of residence,66.0
10X225,English Language Learners,13.0
10X225,Poverty,203.0
10X225,Reside in temporary housing,28.0
10X225,Students with Disabilities,44.0
10X226,All Students,460.0
10X226,Attend school outside district of residence,14.0
10X226,English Language Learners,111.0
10X226,Poverty,441.0
10X226,Reside in temporary housing,139.0
10X226,Students with Disabilities,80.0
10X228,All Students,264.0
10X228,Attend school outside district of residence,25.0
10X315,Poverty,269.0
10X228,Poverty,264.0
10X228,Reside in temporary housing,12.0
10X228,Students with Disabilities,57.0
10X243,All Students,248.0
10X243,Attend school outside district of residence,37.0
10X243,English Language Learners,39.0
10X243,Poverty,240.0
10X243,Reside in temporary housing,38.0
10X243,Students with Disabilities,65.0
10X244,All Students,772.0
10X244,Attend school outside district of residence,31.0
10X244,English Language Learners,158.0
10X244,Poverty,772.0
10X244,Reside in temporary housing,149.0
10X244,Students with Disabilities,201.0
10X246,All Students,704.0
10X246,Attend school outside district of residence,36.0
10X246,English Language Learners,189.0
10X246,Poverty,643.0
10X246,Reside in temporary housing,144.0
10X246,Students with Disabilities,151.0
10X254,All Students,473.0
10X254,Attend school outside district of residence,25.0
10X254,English Language Learners,162.0
10X254,Poverty,473.0
10X254,Reside in temporary housing,93.0
10X254,Students with Disabilities,136.0
10X279,All Students,1083.0
10X279,Attend school outside district of residence,124.0
10X279,English Language Learners,313.0
10X279,Poverty,1011.0
10X279,Reside in temporary housing,330.0
10X279,Students with Disabilities,220.0
10X280,All Students,894.0
10X280,Attend school outside district of residence,30.0
10X280,English Language Learners,108.0
10X280,Poverty,840.0
10X280,Reside in temporary housing,151.0
10X280,Students with Disabilities,241.0
10X291,All Students,675.0
10X291,Attend school outside district of residence,43.0
10X291,English Language Learners,165.0
10X291,Poverty,666.0
10X291,Reside in temporary housing,138.0
10X291,Students with Disabilities,101.0
10X306,All Students,768.0
10X306,Attend school outside district of residence,78.0
10X306,English Language Learners,131.0
10X306,Poverty,768.0
10X306,Reside in temporary housing,167.0
10X306,Students with Disabilities,153.0
10X310,Attend school outside district of residence,25.0
10X307,All Students,373.0
10X307,Attend school outside district of residence,9.0
10X307,English Language Learners,97.0
10X307,Poverty,373.0
10X307,Reside in temporary housing,67.0
10X307,Students with Disabilities,75.0
10X308,All Students,277.0
10X308,Attend school outside district of residence,60.0
10X308,English Language Learners,17.0
10X315,Reside in temporary housing,43.0
10X308,Poverty,277.0
10X308,Reside in temporary housing,36.0
10X308,Students with Disabilities,53.0
10X310,All Students,749.0
10X310,Poverty,736.0
10X310,Reside in temporary housing,217.0
10X310,Students with Disabilities,120.0
10X315,All Students,280.0
10X315,Attend school outside district of residence,45.0
10X315,English Language Learners,44.0
11X326,Attend school outside district of residence,17.0
10X331,All Students,402.0
10X331,Attend school outside district of residence,86.0
10X331,English Language Learners,71.0
10X331,Poverty,402.0
10X331,Reside in temporary housing,83.0
10X331,Students with Disabilities,92.0
10X340,All Students,629.0
10X340,Attend school outside district of residence,19.0
10X340,English Language Learners,152.0
10X340,Poverty,629.0
10X340,Reside in temporary housing,167.0
10X340,Students with Disabilities,161.0
17K316,English Language Learners,17.0
10X342,All Students,158.0
10X342,Attend school outside district of residence,26.0
10X342,English Language Learners,100.0
10X342,Poverty,154.0
10X342,Reside in temporary housing,36.0
10X342,Students with Disabilities,24.0
10X344,All Students,400.0
10X344,Attend school outside district of residence,19.0
10X344,English Language Learners,11.0
10X344,Poverty,179.0
10X344,Reside in temporary housing,23.0
10X344,Students with Disabilities,59.0
10X360,All Students,447.0
17K531,English Language Learners,6.0
10X360,Poverty,379.0
10X360,Reside in temporary housing,87.0
10X360,Students with Disabilities,93.0
10X363,All Students,455.0
10X363,Attend school outside district of residence,43.0
10X363,English Language Learners,145.0
10X363,Poverty,455.0
10X363,Reside in temporary housing,75.0
10X363,Students with Disabilities,107.0
10X368,All Students,438.0
10X368,Attend school outside district of residence,9.0
10X368,English Language Learners,87.0
10X368,Poverty,402.0
10X368,Reside in temporary housing,64.0
10X368,Students with Disabilities,82.0
10X382,All Students,279.0
10X382,Attend school outside district of residence,27.0
10X382,English Language Learners,83.0
10X382,Poverty,268.0
10X382,Reside in temporary housing,81.0
10X382,Students with Disabilities,33.0
10X386,All Students,541.0
11X529,English Language Learners,23.0
10X386,Attend school outside district of residence,41.0
10X386,English Language Learners,180.0
10X386,Poverty,535.0
10X386,Reside in temporary housing,180.0
10X386,Students with Disabilities,104.0
10X390,All Students,457.0
10X390,Attend school outside district of residence,84.0
10X390,English Language Learners,117.0
10X390,Poverty,457.0
10X390,Reside in temporary housing,116.0
10X390,Students with Disabilities,111.0
10X391,All Students,516.0
10X391,Attend school outside district of residence,63.0
12X150,English Language Learners,199.0
10X391,English Language Learners,188.0
10X391,Poverty,516.0
10X391,Reside in temporary housing,141.0
10X391,Students with Disabilities,144.0
10X396,All Students,322.0
10X396,Attend school outside district of residence,40.0
10X396,English Language Learners,66.0
10X396,Poverty,284.0
10X396,Reside in temporary housing,91.0
10X396,Students with Disabilities,86.0
10X447,All Students,477.0
10X447,Attend school outside district of residence,55.0
10X447,English Language Learners,149.0
11X016,Reside in temporary housing,74.0
10X447,Poverty,477.0
10X447,Reside in temporary housing,90.0
10X447,Students with Disabilities,99.0
10X459,All Students,323.0
10X459,Attend school outside district of residence,17.0
10X459,English Language Learners,83.0
10X459,Poverty,323.0
10X459,Reside in temporary housing,60.0
10X459,Students with Disabilities,88.0
11X016,All Students,415.0
11X016,Attend school outside district of residence,7.0
11X016,English Language Learners,19.0
11X326,English Language Learners,60.0
11X016,Poverty,393.0
11X016,Students with Disabilities,83.0
11X019,All Students,518.0
11X019,Attend school outside district of residence,18.0
11X019,English Language Learners,39.0
11X019,Poverty,284.0
11X019,Reside in temporary housing,33.0
11X019,Students with Disabilities,87.0
11X021,All Students,700.0
11X021,Attend school outside district of residence,16.0
11X021,English Language Learners,50.0
12X044,Attend school outside district of residence,13.0
11X021,Poverty,607.0
11X021,Reside in temporary housing,106.0
11X021,Students with Disabilities,131.0
11X041,All Students,963.0
11X041,Attend school outside district of residence,27.0
11X041,English Language Learners,84.0
11X041,Poverty,943.0
11X041,Reside in temporary housing,194.0
11X041,Students with Disabilities,167.0
11X068,All Students,756.0
11X068,Attend school outside district of residence,33.0
11X068,English Language Learners,8.0
11X068,Poverty,756.0
11X068,Reside in temporary housing,68.0
11X068,Students with Disabilities,154.0
11X076,All Students,1065.0
11X076,Attend school outside district of residence,34.0
11X076,English Language Learners,139.0
11X076,Poverty,1065.0
11X076,Reside in temporary housing,128.0
11X076,Students with Disabilities,181.0
11X078,All Students,776.0
11X078,Attend school outside district of residence,19.0
11X078,English Language Learners,36.0
11X078,Poverty,625.0
11X078,Reside in temporary housing,88.0
11X078,Students with Disabilities,132.0
11X083,All Students,1721.0
11X083,Attend school outside district of residence,84.0
11X083,English Language Learners,210.0
11X083,Poverty,1721.0
11X083,Reside in temporary housing,103.0
11X083,Students with Disabilities,316.0
11X087,All Students,634.0
11X087,Attend school outside district of residence,10.0
11X087,English Language Learners,15.0
12X044,English Language Learners,44.0
11X087,Poverty,545.0
11X087,Reside in temporary housing,81.0
11X087,Students with Disabilities,104.0
11X089,All Students,1433.0
11X089,Attend school outside district of residence,41.0
11X089,English Language Learners,308.0
11X089,Poverty,1433.0
11X089,Reside in temporary housing,90.0
11X089,Students with Disabilities,275.0
11X096,All Students,971.0
11X096,Attend school outside district of residence,37.0
11X096,English Language Learners,76.0
11X096,Poverty,971.0
11X096,Reside in temporary housing,155.0
11X096,Students with Disabilities,167.0
11X097,All Students,676.0
11X097,Attend school outside district of residence,23.0
11X097,English Language Learners,29.0
11X097,Poverty,528.0
11X097,Reside in temporary housing,38.0
11X169,Attend school outside district of residence,
11X097,Students with Disabilities,119.0
11X103,All Students,1170.0
11X103,Attend school outside district of residence,53.0
11X103,English Language Learners,205.0
11X103,Poverty,990.0
11X103,Reside in temporary housing,131.0
11X103,Students with Disabilities,227.0
11X105,All Students,1258.0
11X105,Attend school outside district of residence,33.0
11X105,English Language Learners,249.0
11X105,Poverty,1119.0
11X105,Reside in temporary housing,209.0
11X105,Students with Disabilities,238.0
11X106,All Students,1134.0
11X106,Attend school outside district of residence,62.0
11X106,English Language Learners,159.0
11X106,Poverty,1134.0
11X106,Reside in temporary housing,107.0
11X106,Students with Disabilities,169.0
11X108,All Students,579.0
11X108,Attend school outside district of residence,19.0
11X108,English Language Learners,64.0
11X108,Poverty,454.0
11X108,Reside in temporary housing,34.0
11X108,Students with Disabilities,94.0
11X111,All Students,710.0
11X169,English Language Learners,14.0
11X111,Attend school outside district of residence,46.0
11X111,Poverty,638.0
11X111,Reside in temporary housing,94.0
11X111,Students with Disabilities,182.0
11X112,All Students,373.0
11X112,Attend school outside district of residence,
11X112,English Language Learners,19.0
11X112,Poverty,349.0
11X112,Reside in temporary housing,71.0
11X112,Students with Disabilities,84.0
11X121,All Students,922.0
11X121,Attend school outside district of residence,38.0
11X121,English Language Learners,57.0
11X121,Poverty,922.0
11X121,Reside in temporary housing,77.0
11X121,Students with Disabilities,138.0
11X127,All Students,751.0
11X127,Attend school outside district of residence,97.0
11X127,English Language Learners,136.0
11X127,Poverty,751.0
11X127,Reside in temporary housing,109.0
11X127,Students with Disabilities,97.0
11X144,All Students,486.0
11X144,Attend school outside district of residence,19.0
11X144,English Language Learners,35.0
11X144,Poverty,486.0
11X144,Reside in temporary housing,41.0
11X144,Students with Disabilities,135.0
11X153,All Students,722.0
11X153,Attend school outside district of residence,55.0
11X153,English Language Learners,11.0
11X153,Poverty,463.0
11X153,Reside in temporary housing,31.0
11X153,Students with Disabilities,88.0
11X160,All Students,368.0
11X160,Attend school outside district of residence,19.0
11X160,English Language Learners,27.0
11X160,Poverty,283.0
11X160,Reside in temporary housing,35.0
11X160,Students with Disabilities,106.0
11X169,All Students,380.0
11X169,Poverty,336.0
11X169,Reside in temporary housing,35.0
11X169,Students with Disabilities,88.0
11X175,All Students,327.0
11X175,Attend school outside district of residence,24.0
11X175,English Language Learners,6.0
11X175,Poverty,122.0
11X175,Reside in temporary housing,9.0
11X175,Students with Disabilities,44.0
26Q067,Reside in temporary housing,9.0
11X178,All Students,498.0
11X178,Attend school outside district of residence,14.0
11X178,English Language Learners,16.0
11X178,Poverty,381.0
11X178,Reside in temporary housing,62.0
11X178,Students with Disabilities,113.0
11X180,All Students,877.0
11X180,Attend school outside district of residence,26.0
11X180,English Language Learners,12.0
11X180,Poverty,877.0
11X180,Reside in temporary housing,44.0
11X180,Students with Disabilities,152.0
11X181,All Students,873.0
11X181,Attend school outside district of residence,40.0
11X181,English Language Learners,28.0
11X181,Poverty,873.0
11X181,Reside in temporary housing,37.0
11X181,Students with Disabilities,210.0
11X189,All Students,363.0
11X189,Attend school outside district of residence,13.0
11X189,English Language Learners,16.0
11X189,Poverty,324.0
11X189,Reside in temporary housing,66.0
11X189,Students with Disabilities,71.0
11X194,All Students,1363.0
11X194,Attend school outside district of residence,114.0
11X194,English Language Learners,197.0
11X194,Poverty,1363.0
11X194,Reside in temporary housing,148.0
11X194,Students with Disabilities,209.0
11X272,All Students,197.0
11X272,Attend school outside district of residence,8.0
11X272,Poverty,197.0
11X272,Reside in temporary housing,45.0
11X272,Students with Disabilities,63.0
11X287,All Students,248.0
11X287,Attend school outside district of residence,13.0
11X287,English Language Learners,21.0
11X287,Poverty,248.0
11X287,Reside in temporary housing,41.0
11X287,Students with Disabilities,63.0
11X289,All Students,288.0
11X289,Attend school outside district of residence,15.0
11X289,English Language Learners,34.0
11X289,Poverty,288.0
11X289,Reside in temporary housing,39.0
11X289,Students with Disabilities,76.0
11X326,All Students,387.0
11X326,Poverty,387.0
11X326,Reside in temporary housing,46.0
11X326,Students with Disabilities,85.0
11X355,All Students,339.0
11X355,Attend school outside district of residence,6.0
11X355,English Language Learners,25.0
11X355,Poverty,339.0
11X355,Reside in temporary housing,41.0
11X355,Students with Disabilities,80.0
11X357,All Students,200.0
11X357,Attend school outside district of residence,
11X357,English Language Learners,48.0
11X357,Poverty,166.0
11X357,Reside in temporary housing,32.0
11X357,Students with Disabilities,29.0
11X370,All Students,232.0
11X370,Attend school outside district of residence,13.0
11X370,English Language Learners,43.0
11X370,Poverty,232.0
11X370,Reside in temporary housing,24.0
11X370,Students with Disabilities,71.0
11X462,All Students,251.0
11X462,Attend school outside district of residence,15.0
11X462,English Language Learners,7.0
11X462,Poverty,251.0
11X462,Reside in temporary housing,17.0
11X462,Students with Disabilities,46.0
11X468,All Students,352.0
11X468,Attend school outside district of residence,10.0
11X468,English Language Learners,37.0
11X468,Poverty,352.0
11X468,Reside in temporary housing,46.0
11X468,Students with Disabilities,64.0
11X481,All Students,70.0
11X481,Attend school outside district of residence,7.0
11X481,English Language Learners,12.0
11X481,Poverty,56.0
11X481,Reside in temporary housing,8.0
12X050,Reside in temporary housing,7.0
11X481,Students with Disabilities,10.0
11X483,All Students,43.0
11X483,English Language Learners,
11X483,Poverty,39.0
11X483,Reside in temporary housing,10.0
11X483,Students with Disabilities,
11X498,All Students,626.0
11X498,Attend school outside district of residence,31.0
11X498,English Language Learners,39.0
11X498,Poverty,497.0
11X498,Reside in temporary housing,30.0
11X498,Students with Disabilities,120.0
11X529,All Students,324.0
11X529,Attend school outside district of residence,26.0
12X212,English Language Learners,86.0
11X529,Poverty,324.0
11X529,Reside in temporary housing,20.0
11X529,Students with Disabilities,73.0
11X532,All Students,299.0
11X532,Attend school outside district of residence,7.0
11X532,English Language Learners,14.0
