DBN,Category,#Grade K,#Grade 1,#Grade 2,#Grade 3,#Grade 4,#Grade 5
09X229,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X229,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X229,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X229,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X229,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X229,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X230,All Students,No Data,No Data,No Data,No Data,No Data,76
09X230,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,s
09X230,English Language Learners,No Data,No Data,No Data,No Data,No Data,10
09X230,Poverty,No Data,No Data,No Data,No Data,No Data,72
09X230,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,12
09X230,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,21
09X231,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X231,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X231,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X231,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X231,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X231,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X232,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X232,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X232,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X232,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X232,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X236,All Students,47,47,46,30,81,63
09X236,Attend school outside district of residence,s,s,6,6,12,8
09X236,English Language Learners,13,9,6,s,s,s
09X236,Poverty,46,46,45,29,80,61
09X236,Reside in temporary housing,11,11,12,7,20,13
09X236,Students with Disabilities,8,14,13,12,20,12
09X241,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X241,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X241,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
13K056,Attend school outside district of residence,s,6,7,s,s,s
09X241,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X241,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X241,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X274,All Students,139,144,120,106,113,No Data
09X274,English Language Learners,23,43,19,17,19,No Data
09X274,Poverty,122,122,101,94,100,No Data
09X274,Reside in temporary housing,24,30,31,21,25,No Data
09X274,Students with Disabilities,15,23,24,29,28,No Data
09X294,All Students,84,80,84,94,83,No Data
09X294,Attend school outside district of residence,s,s,s,s,s,No Data
09X294,English Language Learners,28,13,25,31,21,No Data
09X294,Poverty,80,79,79,92,76,No Data
09X294,Reside in temporary housing,25,29,18,29,22,No Data
09X294,Students with Disabilities,17,18,18,24,27,No Data
09X303,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X303,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X303,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X313,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X303,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X303,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X303,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X311,All Students,55,50,64,68,76,No Data
09X311,Attend school outside district of residence,s,s,s,s,s,No Data
09X311,English Language Learners,36,23,37,36,38,No Data
13K056,English Language Learners,No Data,No Data,No Data,s,s,No Data
09X311,Poverty,54,47,60,67,75,No Data
09X311,Reside in temporary housing,14,18,14,17,21,No Data
09X311,Students with Disabilities,9,8,17,13,11,No Data
09X313,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X313,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X313,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X313,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X313,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X323,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X323,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X323,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X350,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X323,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X323,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X323,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X324,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X324,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X324,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X324,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X324,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X324,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X328,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X325,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X325,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X325,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
23K150,Attend school outside district of residence,s,No Data,s,s,s,s
09X325,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X325,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X325,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X327,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X327,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X327,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X327,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X327,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X327,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X328,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X328,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
23K150,English Language Learners,s,s,s,s,6,s
09X328,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X328,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X328,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X339,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X339,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X339,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X339,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X339,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X339,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X350,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X350,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X350,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X505,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X350,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X350,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X361,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X361,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X361,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X361,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X361,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X361,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X413,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X413,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X413,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X413,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X413,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X449,Students with Disabilities,13,13,27,22,26,19
09X413,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X443,All Students,93,87,76,93,78,82
09X443,Attend school outside district of residence,s,s,8,s,s,7
09X443,English Language Learners,28,42,25,26,21,34
09X443,Poverty,91,76,69,82,73,71
09X443,Reside in temporary housing,33,21,15,23,12,15
09X443,Students with Disabilities,9,15,21,20,12,20
09X449,All Students,68,77,89,71,70,67
09X449,Attend school outside district of residence,s,s,7,6,11,14
09X449,English Language Learners,25,16,17,16,21,7
09X449,Poverty,67,72,87,69,65,64
09X449,Reside in temporary housing,17,10,21,12,8,6
13K093,Reside in temporary housing,11,7,s,7,s,6
09X454,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X454,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X454,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X454,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X454,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X454,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X457,All Students,98,102,92,111,102,92
09X457,Attend school outside district of residence,6,8,s,7,s,6
09X457,English Language Learners,23,22,18,16,14,19
09X457,Poverty,85,90,84,103,91,78
09X457,Reside in temporary housing,18,23,26,25,21,17
09X457,Students with Disabilities,19,19,16,21,21,26
09X505,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X505,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X505,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X505,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X505,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
09X555,All Students,54,67,59,66,58,No Data
09X555,Attend school outside district of residence,s,s,s,7,s,No Data
09X555,English Language Learners,16,25,15,12,11,No Data
09X555,Poverty,48,64,55,62,56,No Data
09X555,Reside in temporary housing,s,8,9,s,9,No Data
09X555,Students with Disabilities,9,13,s,14,s,No Data
13K301,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X568,All Students,No Data,No Data,No Data,No Data,No Data,No Data
09X568,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
09X568,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
09X568,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
09X568,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
09X568,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X003,All Students,38,35,43,37,30,24
10X003,Attend school outside district of residence,8,10,14,9,10,8
10X003,English Language Learners,7,s,9,s,s,s
10X003,Poverty,37,34,42,36,28,24
10X003,Reside in temporary housing,11,15,15,11,8,s
10X003,Students with Disabilities,s,6,7,12,9,s
13K596,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X007,All Students,74,79,88,169,162,159
10X007,Attend school outside district of residence,s,7,9,s,s,s
10X007,English Language Learners,14,14,10,26,44,40
10X007,Poverty,57,63,70,149,145,144
10X007,Reside in temporary housing,10,14,12,40,29,41
10X007,Students with Disabilities,s,s,9,33,22,21
10X008,All Students,140,179,204,182,217,152
10X008,Attend school outside district of residence,s,s,9,s,10,11
10X008,English Language Learners,39,54,48,40,57,28
10X008,Poverty,128,155,183,159,184,131
10X008,Reside in temporary housing,27,27,35,29,26,23
10X015,Students with Disabilities,9,11,9,9,7,13
10X008,Students with Disabilities,14,31,53,51,49,40
10X009,All Students,130,127,136,138,145,132
10X009,Attend school outside district of residence,10,16,18,9,16,21
10X009,English Language Learners,47,44,52,26,33,36
10X009,Poverty,130,127,136,138,145,132
10X009,Reside in temporary housing,35,50,42,32,35,34
10X009,Students with Disabilities,21,21,24,40,38,35
10X015,All Students,48,50,56,56,54,50
10X015,Attend school outside district of residence,s,s,10,7,8,13
10X015,English Language Learners,9,6,6,No Data,s,s
10X015,Poverty,48,50,56,56,54,50
10X015,Reside in temporary housing,14,15,8,6,s,6
10X020,All Students,121,135,108,135,135,143
10X020,Attend school outside district of residence,No Data,s,s,7,6,9
10X020,English Language Learners,39,43,19,23,20,24
10X020,Poverty,113,127,96,126,129,132
10X020,Reside in temporary housing,15,11,12,16,11,12
10X020,Students with Disabilities,34,30,25,35,33,40
10X023,All Students,65,73,89,91,81,98
10X023,Attend school outside district of residence,6,12,10,14,11,11
10X023,English Language Learners,11,15,9,14,7,15
10X023,Poverty,65,73,89,91,81,98
10X023,Reside in temporary housing,17,26,30,25,19,24
10X023,Students with Disabilities,15,15,28,26,27,40
10X024,All Students,189,197,163,159,176,127
10X024,Attend school outside district of residence,6,7,s,s,6,10
10X024,English Language Learners,s,9,s,6,s,s
10X024,Poverty,42,42,43,43,62,43
10X024,Reside in temporary housing,s,s,s,s,s,6
10X024,Students with Disabilities,16,28,18,28,31,26
10X032,All Students,115,157,150,139,131,129
10X032,Attend school outside district of residence,s,7,s,8,s,s
10X032,English Language Learners,20,24,19,23,17,13
10X032,Poverty,112,154,146,138,131,127
10X032,Reside in temporary housing,26,28,37,26,22,23
10X032,Students with Disabilities,25,31,29,39,35,36
10X033,All Students,160,169,161,171,152,169
10X033,Attend school outside district of residence,6,s,8,6,8,s
10X033,English Language Learners,27,42,37,38,57,60
10X033,Poverty,160,169,161,171,152,169
10X033,Reside in temporary housing,24,22,33,43,26,23
10X033,Students with Disabilities,30,24,25,35,35,44
10X037,All Students,59,69,76,100,72,77
10X037,Attend school outside district of residence,No Data,s,s,s,s,s
10X037,English Language Learners,9,14,9,17,15,s
10X037,Poverty,59,69,76,100,72,77
10X037,Reside in temporary housing,9,12,11,19,13,14
10X315,Students with Disabilities,s,s,s,s,6,s
10X037,Students with Disabilities,10,18,22,25,15,19
10X045,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X045,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X045,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X045,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X045,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X045,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X046,All Students,148,172,205,207,203,164
10X046,Attend school outside district of residence,7,6,s,s,9,6
10X046,English Language Learners,54,76,88,85,72,62
10X046,Poverty,148,172,205,207,203,164
10X046,Reside in temporary housing,50,45,70,51,46,42
10X046,Students with Disabilities,19,31,46,52,56,58
10X051,All Students,42,46,31,32,33,31
10X051,Attend school outside district of residence,6,s,s,s,6,s
10X051,English Language Learners,No Data,s,s,s,s,No Data
10X051,Poverty,41,39,29,27,28,23
10X051,Reside in temporary housing,s,s,s,s,s,No Data
10X051,Students with Disabilities,s,6,6,6,s,7
10X054,All Students,74,77,78,70,68,84
10X054,Attend school outside district of residence,s,No Data,s,s,9,7
10X054,English Language Learners,33,20,19,20,17,21
10X054,Poverty,73,76,78,70,68,80
10X054,Reside in temporary housing,16,14,26,19,19,16
10X054,Students with Disabilities,11,10,11,23,14,18
10X081,English Language Learners,14,17,13,7,s,s
10X056,All Students,97,104,112,112,128,138
10X056,Attend school outside district of residence,s,s,s,7,s,s
10X056,English Language Learners,18,20,25,15,9,13
10X056,Poverty,97,104,112,112,128,138
10X056,Reside in temporary housing,15,20,22,19,16,12
10X056,Students with Disabilities,8,15,21,21,33,29
10X059,All Students,81,92,96,103,101,88
10X059,Attend school outside district of residence,s,s,7,9,7,10
10X059,English Language Learners,17,20,19,10,14,12
10X059,Poverty,80,92,95,103,99,87
10X059,Reside in temporary housing,27,21,30,17,25,21
10X059,Students with Disabilities,16,22,24,32,28,27
10X077,All Students,78,69,No Data,No Data,No Data,No Data
10X077,Attend school outside district of residence,s,s,No Data,No Data,No Data,No Data
10X077,English Language Learners,19,23,No Data,No Data,No Data,No Data
10X077,Poverty,67,58,No Data,No Data,No Data,No Data
10X077,Reside in temporary housing,10,13,No Data,No Data,No Data,No Data
10X077,Students with Disabilities,7,10,No Data,No Data,No Data,No Data
10X080,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X080,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X080,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X080,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X080,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X080,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X081,All Students,119,143,108,111,112,90
10X081,Attend school outside district of residence,s,No Data,s,s,s,No Data
10X081,Poverty,50,66,49,52,55,41
10X081,Reside in temporary housing,11,10,15,s,s,7
10X081,Students with Disabilities,17,15,22,18,26,18
10X085,All Students,116,147,151,170,175,170
10X085,Attend school outside district of residence,s,s,10,10,18,12
10X085,English Language Learners,25,44,44,29,45,39
10X085,Poverty,108,138,144,165,165,167
10X085,Reside in temporary housing,26,33,40,42,38,37
10X085,Students with Disabilities,10,28,40,44,54,57
10X360,Attend school outside district of residence,s,No Data,s,s,s,s
10X086,All Students,230,277,245,202,245,240
10X086,Attend school outside district of residence,9,7,14,12,13,27
10X086,English Language Learners,79,97,89,48,80,57
28Q161,English Language Learners,19,17,12,20,6,6
10X086,Poverty,230,277,245,202,245,240
10X086,Reside in temporary housing,64,70,60,40,50,46
10X086,Students with Disabilities,38,39,42,43,56,42
10X091,All Students,132,131,143,125,129,100
10X091,Attend school outside district of residence,s,6,s,7,10,6
10X091,English Language Learners,65,60,53,38,35,37
10X091,Poverty,113,120,125,108,110,84
10X091,Reside in temporary housing,51,41,44,41,33,29
10X091,Students with Disabilities,21,31,33,24,39,34
10X094,All Students,219,208,222,193,202,186
10X094,Attend school outside district of residence,7,s,7,16,s,16
10X094,English Language Learners,54,62,64,36,61,41
10X206,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X094,Poverty,209,196,217,180,194,169
10X094,Reside in temporary housing,41,54,49,42,53,45
10X094,Students with Disabilities,27,33,58,45,55,54
10X095,All Students,136,144,150,153,134,136
10X095,Attend school outside district of residence,s,s,s,7,6,6
10X095,English Language Learners,24,31,28,40,31,21
10X095,Poverty,136,144,150,153,134,136
10X360,English Language Learners,13,20,12,6,11,9
10X095,Reside in temporary housing,23,34,25,29,14,17
10X095,Students with Disabilities,24,31,27,26,24,29
10X118,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X118,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X118,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X118,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X118,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X118,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X141,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X141,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X141,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
11X111,English Language Learners,s,16,15,8,9,s
10X141,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X141,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X141,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X159,All Students,40,50,20,25,24,42
10X159,Attend school outside district of residence,s,s,s,s,s,s
10X159,English Language Learners,17,6,8,7,7,15
10X228,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X159,Poverty,40,50,20,25,24,42
10X159,Reside in temporary housing,12,6,s,s,s,s
10X159,Students with Disabilities,s,s,s,6,7,9
10X205,All Students,159,192,186,175,184,153
10X205,Attend school outside district of residence,s,s,s,13,10,13
10X205,English Language Learners,38,56,46,30,29,16
17K191,Attend school outside district of residence,s,9,7,s,s,6
10X205,Poverty,159,192,186,175,184,153
10X205,Reside in temporary housing,25,30,45,25,38,18
10X205,Students with Disabilities,35,28,35,40,36,35
10X206,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X206,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X206,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X206,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X206,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X207,All Students,124,127,119,No Data,No Data,No Data
10X207,Attend school outside district of residence,s,s,s,No Data,No Data,No Data
10X207,English Language Learners,48,53,46,No Data,No Data,No Data
17K191,English Language Learners,s,s,No Data,No Data,s,s
10X207,Poverty,124,127,119,No Data,No Data,No Data
10X207,Reside in temporary housing,29,23,32,No Data,No Data,No Data
10X207,Students with Disabilities,22,16,21,No Data,No Data,No Data
10X209,All Students,92,79,60,No Data,No Data,No Data
10X209,Attend school outside district of residence,s,8,s,No Data,No Data,No Data
10X209,English Language Learners,28,30,19,No Data,No Data,No Data
10X209,Poverty,88,74,59,No Data,No Data,No Data
10X209,Reside in temporary housing,28,25,18,No Data,No Data,No Data
10X209,Students with Disabilities,28,26,19,No Data,No Data,No Data
10X225,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X225,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X225,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X225,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X225,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X225,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X226,All Students,75,74,84,75,80,72
10X226,Attend school outside district of residence,s,s,s,s,s,s
10X226,English Language Learners,19,13,26,18,19,16
10X226,Poverty,70,69,82,71,79,70
10X226,Reside in temporary housing,24,23,20,22,23,27
10X226,Students with Disabilities,s,s,15,16,15,16
10X228,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X228,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X315,Poverty,21,25,30,29,32,27
10X228,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X228,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X228,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X243,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X243,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X243,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X243,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X243,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X243,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X244,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X244,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X244,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X244,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X244,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X244,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X246,All Students,104,117,126,135,108,114
10X246,Attend school outside district of residence,s,6,6,12,s,6
10X246,English Language Learners,23,40,35,37,25,29
10X246,Poverty,91,107,118,124,100,103
10X246,Reside in temporary housing,24,17,29,33,17,24
10X246,Students with Disabilities,16,25,29,33,23,25
10X254,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X254,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X254,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X254,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X254,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X254,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X279,All Students,112,117,120,140,117,114
10X279,Attend school outside district of residence,s,s,9,13,14,16
10X279,English Language Learners,35,47,35,37,37,32
10X279,Poverty,105,111,114,131,113,109
10X279,Reside in temporary housing,32,35,36,52,40,35
10X279,Students with Disabilities,15,21,31,32,28,21
10X280,All Students,81,93,97,103,97,130
10X280,Attend school outside district of residence,s,s,s,s,s,s
10X280,English Language Learners,6,20,14,18,10,12
10X280,Poverty,75,85,93,93,95,120
10X280,Reside in temporary housing,17,20,19,19,14,15
10X280,Students with Disabilities,19,20,20,32,32,34
10X291,All Students,100,123,114,113,119,106
10X291,Attend school outside district of residence,s,s,6,8,6,17
10X291,English Language Learners,27,38,23,25,32,20
10X291,Poverty,96,121,113,111,119,106
10X291,Reside in temporary housing,21,25,24,23,25,20
10X291,Students with Disabilities,13,11,17,21,19,20
10X306,All Students,106,124,127,150,139,122
10X306,Attend school outside district of residence,s,s,13,16,19,17
10X306,English Language Learners,13,22,17,29,27,23
10X306,Poverty,106,124,127,150,139,122
10X306,Reside in temporary housing,29,22,27,36,29,24
10X306,Students with Disabilities,14,14,25,29,33,38
10X310,Attend school outside district of residence,s,6,6,s,s,s
10X307,All Students,54,73,64,61,64,57
10X307,Attend school outside district of residence,No Data,s,No Data,s,s,s
10X307,English Language Learners,22,22,17,12,12,12
10X307,Poverty,54,73,64,61,64,57
10X307,Reside in temporary housing,7,16,17,9,12,6
10X307,Students with Disabilities,8,20,10,14,13,10
10X308,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X308,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X308,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X315,Reside in temporary housing,s,s,s,6,7,s
10X308,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X308,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X308,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X310,All Students,140,132,123,120,110,124
10X310,Poverty,135,132,120,118,110,121
10X310,Reside in temporary housing,41,39,38,42,29,28
10X310,Students with Disabilities,15,17,17,21,23,27
10X315,All Students,21,25,32,32,32,30
10X315,Attend school outside district of residence,s,s,s,s,9,s
10X315,English Language Learners,6,6,s,s,s,s
11X326,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X331,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X331,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X331,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X331,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X331,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X331,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X340,All Students,109,107,117,109,98,89
10X340,Attend school outside district of residence,s,s,s,s,s,s
10X340,English Language Learners,32,34,33,29,13,11
10X340,Poverty,109,107,117,109,98,89
10X340,Reside in temporary housing,25,27,33,33,30,19
10X340,Students with Disabilities,21,21,33,33,27,26
17K316,English Language Learners,s,s,s,s,s,s
10X342,All Students,No Data,No Data,No Data,No Data,No Data,No Data
10X342,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data
10X342,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
10X342,Poverty,No Data,No Data,No Data,No Data,No Data,No Data
10X342,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data
10X342,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data
10X344,All Students,63,63,55,80,84,55
10X344,Attend school outside district of residence,s,No Data,s,s,8,s
10X344,English Language Learners,s,s,s,s,s,s
10X344,Poverty,30,25,23,40,40,21
10X344,Reside in temporary housing,8,s,s,s,s,6
10X344,Students with Disabilities,14,18,6,7,7,7
10X360,All Students,90,89,74,65,69,60
17K531,English Language Learners,No Data,No Data,No Data,No Data,No Data,No Data
